natural_language,sql_query
Retrieve holdings with market value above average,SELECT * FROM Valuations WHERE MarketValue > (SELECT AVG(MarketValue) FROM Valuations)
Give me holdings with market value above average,SELECT * FROM Valuations WHERE MarketValue > (SELECT AVG(MarketValue) FROM Valuations)
Display holdings with market value above average,SELECT * FROM Valuations WHERE MarketValue > (SELECT AVG(MarketValue) FROM Valuations)
What are the holdings with market value above average?,SELECT * FROM Valuations WHERE MarketValue > (SELECT AVG(MarketValue) FROM Valuations)
Can you show holdings with market value above average?,SELECT * FROM Valuations WHERE MarketValue > (SELECT AVG(MarketValue) FROM Valuations)
Show find portfolios that have at least one holding,SELECT * FROM Portfolios WHERE EXISTS (SELECT 1 FROM PortfolioHoldings WHERE Portfolios.PortfolioId = PortfolioHoldings.PortfolioId)
List find portfolios that have at least one holding,SELECT * FROM Portfolios WHERE EXISTS (SELECT 1 FROM PortfolioHoldings WHERE Portfolios.PortfolioId = PortfolioHoldings.PortfolioId)
Fetch find portfolios that have at least one holding,SELECT * FROM Portfolios WHERE EXISTS (SELECT 1 FROM PortfolioHoldings WHERE Portfolios.PortfolioId = PortfolioHoldings.PortfolioId)
Retrieve find portfolios that have at least one holding,SELECT * FROM Portfolios WHERE EXISTS (SELECT 1 FROM PortfolioHoldings WHERE Portfolios.PortfolioId = PortfolioHoldings.PortfolioId)
Give me find portfolios that have at least one holding,SELECT * FROM Portfolios WHERE EXISTS (SELECT 1 FROM PortfolioHoldings WHERE Portfolios.PortfolioId = PortfolioHoldings.PortfolioId)
Display find portfolios that have at least one holding,SELECT * FROM Portfolios WHERE EXISTS (SELECT 1 FROM PortfolioHoldings WHERE Portfolios.PortfolioId = PortfolioHoldings.PortfolioId)
What are the find portfolios that have at least one holding?,SELECT * FROM Portfolios WHERE EXISTS (SELECT 1 FROM PortfolioHoldings WHERE Portfolios.PortfolioId = PortfolioHoldings.PortfolioId)
Can you show find portfolios that have at least one holding?,SELECT * FROM Portfolios WHERE EXISTS (SELECT 1 FROM PortfolioHoldings WHERE Portfolios.PortfolioId = PortfolioHoldings.PortfolioId)
Show portfolio names and corresponding isins for holdings purchased after 2020,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE h.PurchaseDate > '2020-01-01'"
List portfolio names and corresponding isins for holdings purchased after 2020,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE h.PurchaseDate > '2020-01-01'"
Fetch portfolio names and corresponding isins for holdings purchased after 2020,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE h.PurchaseDate > '2020-01-01'"
Retrieve portfolio names and corresponding isins for holdings purchased after 2020,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE h.PurchaseDate > '2020-01-01'"
Give me portfolio names and corresponding isins for holdings purchased after 2020,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE h.PurchaseDate > '2020-01-01'"
Display portfolio names and corresponding isins for holdings purchased after 2020,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE h.PurchaseDate > '2020-01-01'"
What are the portfolio names and corresponding isins for holdings purchased after 2020?,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE h.PurchaseDate > '2020-01-01'"
Can you show portfolio names and corresponding isins for holdings purchased after 2020?,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE h.PurchaseDate > '2020-01-01'"
Show securities with their portfolio names for currency code usd,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE f.CurrencyCode = 'USD'"
List securities with their portfolio names for currency code usd,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE f.CurrencyCode = 'USD'"
Fetch securities with their portfolio names for currency code usd,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE f.CurrencyCode = 'USD'"
Retrieve securities with their portfolio names for currency code usd,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE f.CurrencyCode = 'USD'"
Give me securities with their portfolio names for currency code usd,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE f.CurrencyCode = 'USD'"
Display securities with their portfolio names for currency code usd,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE f.CurrencyCode = 'USD'"
What are the securities with their portfolio names for currency code usd?,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE f.CurrencyCode = 'USD'"
Can you show securities with their portfolio names for currency code usd?,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId WHERE f.CurrencyCode = 'USD'"
Show portfolio and holding details where unrealized gain exceeds 10000,"SELECT p.PortfolioName, h.Quantity, o.UnrealizedGainLoss FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN OCIChanges o ON o.HoldingId = h.HoldingId WHERE o.UnrealizedGainLoss > 10000"
List portfolio and holding details where unrealized gain exceeds 10000,"SELECT p.PortfolioName, h.Quantity, o.UnrealizedGainLoss FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN OCIChanges o ON o.HoldingId = h.HoldingId WHERE o.UnrealizedGainLoss > 10000"
Fetch portfolio and holding details where unrealized gain exceeds 10000,"SELECT p.PortfolioName, h.Quantity, o.UnrealizedGainLoss FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN OCIChanges o ON o.HoldingId = h.HoldingId WHERE o.UnrealizedGainLoss > 10000"
Retrieve portfolio and holding details where unrealized gain exceeds 10000,"SELECT p.PortfolioName, h.Quantity, o.UnrealizedGainLoss FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN OCIChanges o ON o.HoldingId = h.HoldingId WHERE o.UnrealizedGainLoss > 10000"
Give me portfolio and holding details where unrealized gain exceeds 10000,"SELECT p.PortfolioName, h.Quantity, o.UnrealizedGainLoss FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN OCIChanges o ON o.HoldingId = h.HoldingId WHERE o.UnrealizedGainLoss > 10000"
Display portfolio and holding details where unrealized gain exceeds 10000,"SELECT p.PortfolioName, h.Quantity, o.UnrealizedGainLoss FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN OCIChanges o ON o.HoldingId = h.HoldingId WHERE o.UnrealizedGainLoss > 10000"
What are the portfolio and holding details where unrealized gain exceeds 10000?,"SELECT p.PortfolioName, h.Quantity, o.UnrealizedGainLoss FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN OCIChanges o ON o.HoldingId = h.HoldingId WHERE o.UnrealizedGainLoss > 10000"
Can you show portfolio and holding details where unrealized gain exceeds 10000?,"SELECT p.PortfolioName, h.Quantity, o.UnrealizedGainLoss FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN OCIChanges o ON o.HoldingId = h.HoldingId WHERE o.UnrealizedGainLoss > 10000"
Show all valuations along with portfolio names,"SELECT v.ValuationDate, v.MarketValue, p.PortfolioName FROM Valuations v JOIN PortfolioHoldings h ON v.HoldingId = h.HoldingId JOIN Portfolios p ON h.PortfolioId = p.PortfolioId"
List all valuations along with portfolio names,"SELECT v.ValuationDate, v.MarketValue, p.PortfolioName FROM Valuations v JOIN PortfolioHoldings h ON v.HoldingId = h.HoldingId JOIN Portfolios p ON h.PortfolioId = p.PortfolioId"
Fetch all valuations along with portfolio names,"SELECT v.ValuationDate, v.MarketValue, p.PortfolioName FROM Valuations v JOIN PortfolioHoldings h ON v.HoldingId = h.HoldingId JOIN Portfolios p ON h.PortfolioId = p.PortfolioId"
Retrieve all valuations along with portfolio names,"SELECT v.ValuationDate, v.MarketValue, p.PortfolioName FROM Valuations v JOIN PortfolioHoldings h ON v.HoldingId = h.HoldingId JOIN Portfolios p ON h.PortfolioId = p.PortfolioId"
Give me all valuations along with portfolio names,"SELECT v.ValuationDate, v.MarketValue, p.PortfolioName FROM Valuations v JOIN PortfolioHoldings h ON v.HoldingId = h.HoldingId JOIN Portfolios p ON h.PortfolioId = p.PortfolioId"
Display all valuations along with portfolio names,"SELECT v.ValuationDate, v.MarketValue, p.PortfolioName FROM Valuations v JOIN PortfolioHoldings h ON v.HoldingId = h.HoldingId JOIN Portfolios p ON h.PortfolioId = p.PortfolioId"
What are the all valuations along with portfolio names?,"SELECT v.ValuationDate, v.MarketValue, p.PortfolioName FROM Valuations v JOIN PortfolioHoldings h ON v.HoldingId = h.HoldingId JOIN Portfolios p ON h.PortfolioId = p.PortfolioId"
Can you show all valuations along with portfolio names?,"SELECT v.ValuationDate, v.MarketValue, p.PortfolioName FROM Valuations v JOIN PortfolioHoldings h ON v.HoldingId = h.HoldingId JOIN Portfolios p ON h.PortfolioId = p.PortfolioId"
Show all securities with isin containing 'us',SELECT * FROM FixedIncomeSecurities WHERE ISIN LIKE '%US%'
List all securities with isin containing 'us',SELECT * FROM FixedIncomeSecurities WHERE ISIN LIKE '%US%'
Fetch all securities with isin containing 'us',SELECT * FROM FixedIncomeSecurities WHERE ISIN LIKE '%US%'
Retrieve all securities with isin containing 'us',SELECT * FROM FixedIncomeSecurities WHERE ISIN LIKE '%US%'
Give me all securities with isin containing 'us',SELECT * FROM FixedIncomeSecurities WHERE ISIN LIKE '%US%'
Display all securities with isin containing 'us',SELECT * FROM FixedIncomeSecurities WHERE ISIN LIKE '%US%'
What are the all securities with isin containing 'us'?,SELECT * FROM FixedIncomeSecurities WHERE ISIN LIKE '%US%'
Can you show all securities with isin containing 'us'?,SELECT * FROM FixedIncomeSecurities WHERE ISIN LIKE '%US%'
Show find portfolios whose description mentions 'income',SELECT * FROM Portfolios WHERE Description LIKE '%Income%'
List find portfolios whose description mentions 'income',SELECT * FROM Portfolios WHERE Description LIKE '%Income%'
Fetch find portfolios whose description mentions 'income',SELECT * FROM Portfolios WHERE Description LIKE '%Income%'
Retrieve find portfolios whose description mentions 'income',SELECT * FROM Portfolios WHERE Description LIKE '%Income%'
Give me find portfolios whose description mentions 'income',SELECT * FROM Portfolios WHERE Description LIKE '%Income%'
Display find portfolios whose description mentions 'income',SELECT * FROM Portfolios WHERE Description LIKE '%Income%'
What are the find portfolios whose description mentions 'income'?,SELECT * FROM Portfolios WHERE Description LIKE '%Income%'
Can you show find portfolios whose description mentions 'income'?,SELECT * FROM Portfolios WHERE Description LIKE '%Income%'
Show holdings purchased where portfolio name contains 'corporate',SELECT * FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId WHERE p.PortfolioName LIKE '%Corporate%'
List holdings purchased where portfolio name contains 'corporate',SELECT * FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId WHERE p.PortfolioName LIKE '%Corporate%'
Fetch holdings purchased where portfolio name contains 'corporate',SELECT * FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId WHERE p.PortfolioName LIKE '%Corporate%'
Retrieve holdings purchased where portfolio name contains 'corporate',SELECT * FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId WHERE p.PortfolioName LIKE '%Corporate%'
Give me holdings purchased where portfolio name contains 'corporate',SELECT * FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId WHERE p.PortfolioName LIKE '%Corporate%'
Display holdings purchased where portfolio name contains 'corporate',SELECT * FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId WHERE p.PortfolioName LIKE '%Corporate%'
What are the holdings purchased where portfolio name contains 'corporate'?,SELECT * FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId WHERE p.PortfolioName LIKE '%Corporate%'
Can you show holdings purchased where portfolio name contains 'corporate'?,SELECT * FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId WHERE p.PortfolioName LIKE '%Corporate%'
Show find securities maturing in 2030,SELECT * FROM FixedIncomeSecurities WHERE MaturityDate LIKE '2030%'
List find securities maturing in 2030,SELECT * FROM FixedIncomeSecurities WHERE MaturityDate LIKE '2030%'
Fetch find securities maturing in 2030,SELECT * FROM FixedIncomeSecurities WHERE MaturityDate LIKE '2030%'
Retrieve find securities maturing in 2030,SELECT * FROM FixedIncomeSecurities WHERE MaturityDate LIKE '2030%'
Give me find securities maturing in 2030,SELECT * FROM FixedIncomeSecurities WHERE MaturityDate LIKE '2030%'
Display find securities maturing in 2030,SELECT * FROM FixedIncomeSecurities WHERE MaturityDate LIKE '2030%'
What are the find securities maturing in 2030?,SELECT * FROM FixedIncomeSecurities WHERE MaturityDate LIKE '2030%'
Can you show find securities maturing in 2030?,SELECT * FROM FixedIncomeSecurities WHERE MaturityDate LIKE '2030%'
Show holdings where amortized cost is greater than 100000,SELECT * FROM PortfolioHoldings WHERE AmortizedCost > 100000
Show securities with coupon rate less than 5,SELECT * FROM FixedIncomeSecurities WHERE CouponRate < 5
Show valuations with market value equal to 50000,SELECT * FROM Valuations WHERE MarketValue = 50000
List all holdings ordered by purchase date,SELECT * FROM PortfolioHoldings ORDER BY PurchaseDate
Show securities ordered by maturity date descending,SELECT * FROM FixedIncomeSecurities ORDER BY MaturityDate DESC
Show top 5 portfolios with longest descriptions,SELECT TOP 5 * FROM Portfolios ORDER BY LEN(Description) DESC
Show top 10 securities with highest coupon rate,SELECT TOP 10 * FROM FixedIncomeSecurities ORDER BY CouponRate DESC
List portfolios that contain the word 'Sovereign',SELECT * FROM Portfolios WHERE PortfolioName LIKE '%Sovereign%'
Show holdings purchased between 2021 and 2022,SELECT * FROM PortfolioHoldings WHERE PurchaseDate BETWEEN '2021-01-01' AND '2022-12-31'
Show securities with currency in USD or EUR,"SELECT * FROM FixedIncomeSecurities WHERE CurrencyCode IN ('USD', 'EUR')"
List securities where maturity date is missing,SELECT * FROM FixedIncomeSecurities WHERE MaturityDate IS NULL
Show each portfolio and the ISIN of securities it holds,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON h.SecurityId = f.SecurityId"
List portfolio names with unrealized gains,"SELECT p.PortfolioName, o.UnrealizedGainLoss FROM PortfolioHoldings h JOIN Portfolios p ON h.PortfolioId = p.PortfolioId JOIN OCIChanges o ON o.HoldingId = h.HoldingId"
Show total amortized cost per security,"SELECT SecurityId, SUM(AmortizedCost) AS TotalCost FROM PortfolioHoldings GROUP BY SecurityId"
Show average coupon rate by currency,"SELECT CurrencyCode, AVG(CouponRate) FROM FixedIncomeSecurities GROUP BY CurrencyCode"
List currencies where average coupon rate is above 6,"SELECT CurrencyCode, AVG(CouponRate) AS AvgRate FROM FixedIncomeSecurities GROUP BY CurrencyCode HAVING AVG(CouponRate) > 6"
Show holdings with market value above average,SELECT * FROM Valuations WHERE MarketValue > (SELECT AVG(MarketValue) FROM Valuations)
Find portfolios that have at least one holding,SELECT * FROM Portfolios WHERE EXISTS (SELECT 1 FROM PortfolioHoldings WHERE Portfolios.PortfolioId = PortfolioHoldings.PortfolioId)
Show records from PortfolioHoldings where CouponRate greater than 97212,SELECT * FROM PortfolioHoldings WHERE CouponRate > 97212
Show records from PortfolioHoldings where AmortizedCost less than 33692,SELECT * FROM PortfolioHoldings WHERE AmortizedCost < 33692
Show records from PortfolioHoldings where UnrealizedGainLoss equals 6527,SELECT * FROM PortfolioHoldings WHERE UnrealizedGainLoss = 6527
Show all holdings ordered by CouponRate descending,SELECT * FROM PortfolioHoldings ORDER BY CouponRate DESC
Show top 5 holdings by CouponRate,SELECT TOP 5 * FROM PortfolioHoldings ORDER BY CouponRate DESC
Show all holdings ordered by AmortizedCost descending,SELECT * FROM PortfolioHoldings ORDER BY AmortizedCost DESC
Show top 5 holdings by AmortizedCost,SELECT TOP 5 * FROM PortfolioHoldings ORDER BY AmortizedCost DESC
Show all holdings ordered by UnrealizedGainLoss descending,SELECT * FROM PortfolioHoldings ORDER BY UnrealizedGainLoss DESC
Show top 5 holdings by UnrealizedGainLoss,SELECT TOP 5 * FROM PortfolioHoldings ORDER BY UnrealizedGainLoss DESC
Show average coupon rate grouped by CurrencyCode,"SELECT CurrencyCode, AVG(CouponRate) AS AvgCoupon FROM FixedIncomeSecurities GROUP BY CurrencyCode"
List currencies with average coupon rate greater than 5,"SELECT CurrencyCode, AVG(CouponRate) AS AvgCoupon FROM FixedIncomeSecurities GROUP BY CurrencyCode HAVING AVG(CouponRate) > 5"
List securities and their corresponding portfolios,"SELECT p.PortfolioName, f.ISIN FROM PortfolioHoldings ph JOIN Portfolios p ON ph.PortfolioId = p.PortfolioId JOIN FixedIncomeSecurities f ON ph.SecurityId = f.SecurityId"
Find portfolios that have at least one holding,SELECT * FROM Portfolios WHERE EXISTS (SELECT 1 FROM PortfolioHoldings WHERE Portfolios.PortfolioId = PortfolioHoldings.PortfolioId)
Show holdings with market value greater than average,SELECT * FROM Valuations WHERE MarketValue > (SELECT AVG(MarketValue) FROM Valuations)
List portfolios containing the word Sovereign,SELECT * FROM Portfolios WHERE PortfolioName LIKE '%Sovereign%'
Show holdings where maturity date is missing,SELECT * FROM FixedIncomeSecurities WHERE MaturityDate IS NULL
Show holdings purchased between 2019 and 2021,SELECT * FROM PortfolioHoldings WHERE PurchaseDate BETWEEN '2019-01-01' AND '2021-12-31'
Show securities where currency is USD or EUR,"SELECT * FROM FixedIncomeSecurities WHERE CurrencyCode IN ('USD', 'EUR')"
Show total amortized cost per security,"SELECT SecurityId, SUM(AmortizedCost) AS TotalCost FROM PortfolioHoldings GROUP BY SecurityId"
